Temp, Energy, Mag_Sq, Energy_Sq, Err_E, Err_E_Sq, Err_Mag_Sq, Mag_Fth
2,-174.178,8361.62,30634.4,0.167497,17.124,62.5752,9.71736e+08
2.05,-171.028,8116.31,29581.9,0.152237,16.9985,52.3749,9.10974e+08
2.1,-166.711,7772.03,28190,0.506183,51.8064,162.825,8.35121e+08
2.15,-161.443,7340.77,26537.8,0.597661,52.2514,179.122,7.4992e+08
2.2,-156.178,6882.32,24932.5,0.149407,16.7594,44.0378,6.70925e+08
2.25,-150.354,6361.77,23235.7,0.647272,69.7242,185.375,5.93688e+08
2.3,-142.426,5642.44,20976.7,0.457119,45.6643,124.097,4.94517e+08
2.35,-137.676,5247.45,19664.3,0.446031,58.3232,113.512,4.39163e+08
2.4,-130.257,4590.92,17696.9,0.766875,74.6379,191.878,3.63393e+08
2.45,-125.63,4203.06,16518.4,0.518355,51.6363,111.689,3.2067e+08
2.5,-119.113,3599.76,14891.5,0.69501,80.4888,164.165,2.64259e+08
