Temp, Energy, Mag_Sq, Energy_Sq, Err_E, Err_E_Sq, Err_Mag_Sq, Mag_Frth
2,-446.492,54495.9,200113,0.557702,168.926,492.225,3.00948e+09
2.05,-437.251,52568,192062,0.327984,67.913,272.046,2.81494e+09
2.1,-425.164,49840.5,181871,0.564784,155.813,446.758,2.56109e+09
2.15,-412.967,46813.2,171879,0.862159,267.801,680.491,2.29969e+09
2.2,-396.215,42335.4,158643,1.60804,576.067,1231.11,1.95206e+09
2.25,-377.846,37416.5,144655,1.43015,504.172,998.698,1.59966e+09
2.3,-358.13,31283.2,130403,1.55103,558.723,1081.93,1.22704e+09
2.35,-340.166,26256.7,117889,1.04717,566.905,701.941,9.42264e+08
2.4,-322.178,21626.1,105895,3.03003,1103.25,1990.45,6.95398e+08
2.45,-305.336,17273.3,95215.4,1.03725,517.269,656.913,4.90736e+08
2.5,-290.836,13732.3,86326.2,1.01283,317.136,628.591,3.4192e+08
