x, phil, phir
1e-05,0,0
0.00158078,0.000297728,0
0.00315155,0.000608312,0
0.00472233,0.0009268,0
0.00629311,0.00125045,0
0.00786388,0.00157793,0
0.00943466,0.00190847,0
0.0110054,0.00224153,0
0.0125762,0.00257671,0
0.014147,0.00291372,0
0.0157178,0.00325231,0
0.0172885,0.00359228,0
0.0188593,0.00393347,0
0.0204301,0.00427574,0
0.0220009,0.00461896,0
0.0235716,0.00496301,0
0.0251424,0.0053078,0
0.0267132,0.00565324,0
0.028284,0.00599923,0
0.0298548,0.0063457,0
0.0314255,0.00669259,0
0.0329963,0.00703981,0
0.0345671,0.00738732,0
0.0361379,0.00773504,0
0.0377086,0.00808291,0
0.0392794,0.0084309,0
0.0408502,0.00877893,0
0.042421,0.00912696,0
0.0439917,0.00947494,0
0.0455625,0.00982283,0
0.0471333,0.0101706,0
0.0487041,0.0105181,0
0.0502748,0.0108655,0
0.0518456,0.0112125,0
0.0534164,0.0115592,0
0.0549872,0.0119056,0
0.0565579,0.0122516,0
0.0581287,0.0125972,0
0.0596995,0.0129423,0
0.0612703,0.0132868,0
0.0628411,0.0136309,0
0.0644118,0.0139743,0
0.0659826,0.0143171,0
0.0675534,0.0146593,0
0.0691242,0.0150008,0
0.0706949,0.0153416,0
0.0722657,0.0156816,0
0.0738365,0.0160208,0
0.0754073,0.0163592,0
0.076978,0.0166968,0
0.0785488,0.0170334,0
0.0801196,0.0173692,0
0.0816904,0.017704,0
0.0832611,0.0180378,0
0.0848319,0.0183706,0
0.0864027,0.0187024,0
0.0879735,0.0190331,0
0.0895443,0.0193626,0
0.091115,0.0196911,0
0.0926858,0.0200184,0
0.0942566,0.0203445,0
0.0958274,0.0206694,0
0.0973981,0.020993,0
0.0989689,0.0213153,0
0.10054,0.0216364,0
0.10211,0.0219561,0
0.103681,0.0222745,0
0.105252,0.0225914,0
0.106823,0.022907,0
0.108394,0.0232211,0
0.109964,0.0235337,0
0.111535,0.0238448,0
0.113106,0.0241544,0
0.114677,0.0244625,0
0.116247,0.024769,0
0.117818,0.0250739,0
0.119389,0.0253771,0
0.12096,0.0256787,0
0.122531,0.0259786,0
0.124101,0.0262769,0
0.125672,0.0265733,0
0.127243,0.0268681,0
0.128814,0.027161,0
0.130384,0.0274522,0
0.131955,0.0277415,0
0.133526,0.028029,0
0.135097,0.0283146,0
0.136668,0.0285983,0
0.138238,0.0288801,0
0.139809,0.02916,0
0.14138,0.0294379,0
0.142951,0.0297138,0
0.144521,0.0299876,0
0.146092,0.0302595,0
0.147663,0.0305293,0
0.149234,0.030797,0
0.150805,0.0310626,0
0.152375,0.0313261,0
0.153946,0.0315875,0
0.155517,0.0318467,0
0.157088,0.0321037,0
0.158658,0.0323585,0
0.160229,0.0326111,0
0.1618,0.0328614,0
0.163371,0.0331095,0
0.164942,0.0333552,0
0.166512,0.0335987,0
0.168083,0.0338399,0
0.169654,0.0340787,0
0.171225,0.0343151,0
0.172795,0.0345492,0
0.174366,0.0347809,0
0.175937,0.0350101,0
0.177508,0.0352369,0
0.179079,0.0354613,0
0.180649,0.0356832,0
0.18222,0.0359026,0
0.183791,0.0361195,0
0.185362,0.0363338,0
0.186932,0.0365456,0
0.188503,0.0367549,0
0.190074,0.0369616,0
0.191645,0.0371657,0
0.193215,0.0373672,0
0.194786,0.037566,0
0.196357,0.0377623,0
0.197928,0.0379558,0
0.199499,0.0381467,0
0.201069,0.038335,0
0.20264,0.0385205,0
0.204211,0.0387033,0
0.205782,0.0388834,0
0.207352,0.0390607,0
0.208923,0.0392353,0
0.210494,0.0394071,0
0.212065,0.0395761,0
0.213636,0.0397423,0
0.215206,0.0399057,0
0.216777,0.0400663,0
0.218348,0.0402241,0
0.219919,0.040379,0
0.221489,0.0405311,0
0.22306,0.0406803,0
0.224631,0.0408266,0
0.226202,0.04097,0
0.227773,0.0411105,0
0.229343,0.0412481,0
0.230914,0.0413827,0
0.232485,0.0415144,0
0.234056,0.0416432,0
0.235626,0.041769,0
0.237197,0.0418919,0
0.238768,0.0420117,0
0.240339,0.0421286,0
0.24191,0.0422425,0
0.24348,0.0423534,0
0.245051,0.0424613,0
0.246622,0.0425661,0
0.248193,0.042668,0
0.249763,0.0427667,0
0.251334,0.0428625,0
0.252905,0.0429552,0
0.254476,0.0430448,0
0.256047,0.0431314,0
0.257617,0.0432149,0
0.259188,0.0432953,0
0.260759,0.0433726,0
0.26233,0.0434468,0
0.2639,0.043518,0
0.265471,0.043586,0
0.267042,0.0436509,0
0.268613,0.0437127,0
0.270184,0.0437714,0
0.271754,0.043827,0
0.273325,0.0438794,0
0.274896,0.0439287,0
0.276467,0.0439749,0
0.278037,0.044018,0
0.279608,0.0440578,0
0.281179,0.0440946,0
0.28275,0.0441282,0
0.284321,0.0441587,0
0.285891,0.044186,0
0.287462,0.0442101,0
0.289033,0.0442311,0
0.290604,0.0442489,0
0.292174,0.0442636,0
0.293745,0.0442751,0
0.295316,0.0442834,0
0.296887,0.0442886,0
0.298458,0.0442907,0
0.300028,0.0442895,0
0.301599,0.0442852,0
0.30317,0.0442777,0
0.304741,0.0442671,0
0.306311,0.0442533,0
0.307882,0.0442364,0
0.309453,0.0442162,0
0.311024,0.044193,0
0.312594,0.0441665,0
0.314165,0.044137,0
0.315736,0.0441042,0
0.317307,0.0440683,0
0.318878,0.0440293,0
0.320448,0.0439871,0
0.322019,0.0439418,0
0.32359,0.0438934,0
0.325161,0.0438418,0
0.326731,0.043787,0
0.328302,0.0437292,0
0.329873,0.0436682,0
0.331444,0.0436041,0
0.333015,0.0435369,0
0.334585,0.0434666,0
0.336156,0.0433932,0
0.337727,0.0433167,0
0.339298,0.0432371,0
0.340868,0.0431544,0
0.342439,0.0430686,0
0.34401,0.0429798,0
0.345581,0.0428879,0
0.347152,0.0427929,0
0.348722,0.0426949,0
0.350293,0.0425938,0
0.351864,0.0424897,0
0.353435,0.0423826,0
0.355005,0.0422724,0
0.356576,0.0421593,0
0.358147,0.0420431,0
0.359718,0.0419239,0
0.361289,0.0418018,0
0.362859,0.0416766,0
0.36443,0.0415485,0
0.366001,0.0414175,0
0.367572,0.0412834,0
0.369142,0.0411465,0
0.370713,0.0410066,0
0.372284,0.0408638,0
0.373855,0.040718,0
0.375426,0.0405694,0
0.376996,0.0404179,0
0.378567,0.0402635,0
0.380138,0.0401063,0
0.381709,0.0399462,0
0.383279,0.0397832,0
0.38485,0.0396174,0
0.386421,0.0394489,0
0.387992,0.0392775,0
0.389563,0.0391033,0
0.391133,0.0389263,0
0.392704,0.0387466,0
0.394275,0.0385641,0
0.395846,0.0383788,0
0.397416,0.0381909,0
0.398987,0.0380002,0
0.400558,0.0378068,0
0.402129,0.0376108,0
0.4037,0.0374121,0
0.40527,0.0372107,0
0.406841,0.0370067,0
0.408412,0.0368,0
0.409983,0.0365908,0
0.411553,0.0363789,0
0.413124,0.0361645,0
0.414695,0.0359475,0
0.416266,0.035728,0
0.417837,0.0355059,0
0.419407,0.0352813,0
0.420978,0.0350542,0
0.422549,0.0348247,0
0.42412,0.0345926,0
0.42569,0.0343582,0
0.427261,0.0341213,0
0.428832,0.0338819,0
0.430403,0.0336402,0
0.431973,0.0333961,0
0.433544,0.0331497,0
0.435115,0.0329009,0
0.436686,0.0326497,0
0.438257,0.0323963,0
0.439827,0.0321406,0
0.441398,0.0318826,0
0.442969,0.0316223,0
0.44454,0.0313599,0
0.44611,0.0310952,0
0.447681,0.0308283,0
0.449252,0.0305593,0
0.450823,0.0302881,0
0.452394,0.0300147,0
0.453964,0.0297393,0
0.455535,0.0294617,0
0.457106,0.0291821,0
0.458677,0.0289004,0
0.460247,0.0286167,0
0.461818,0.028331,0
0.463389,0.0280432,0
0.46496,0.0277536,0
0.466531,0.0274619,0
0.468101,0.0271683,0
